levels,count,SSL_classification_name
ARGISSOLO ACINZENTADO,11,
ARGISSOLO AMARELO,182,Typic Sombrihumult
ARGISSOLO BRUNO-ACINZENTADO,269,Typic Hapludalf / Typic Haplohumult
ARGISSOLO VERMELHO,372,Ultisol / Alfisol
ARGISSOLO VERMELHO-AMARELO,202,Typic Sombrihumult
CAMBISSOLO FLUVICO,18,
CAMBISSOLO HAPLICO,456,Ochrept / Umbrept
CAMBISSOLO HUMICO,30,Dystrudept
CHERNOSSOLO ARGILUVICO,43,Udoll / Ustoll
CHERNOSSOLO HAPLICO,20,Udoll / Ustoll
GLEISSOLO HAPLICO,44,Aqualf / Aquult / Aquox
GLEISSOLO MELANICO,16,Aquoll
LATOSSOLO AMARELO,192,Udox
LATOSSOLO BRUNO,12,Oxisol
LATOSSOLO VERMELHO,293,Udox
LATOSSOLO VERMELHO-AMARELO,54,Typic Hapludox
LUVISSOLO HAPLICO,5,
NEOSSOLO,36,Entisol
NEOSSOLO FLUVICO,79,Fluvent
NEOSSOLO LITOLICO,323,Udorthent / Ustorthent
NEOSSOLO QUARTZARENICO,34,Psamment
NEOSSOLO REGOLITICO,172,Typic Udorthent / Sombric Udorthent
NITOSSOLO BRUNO,14,
NITOSSOLO HAPLICO,9,Udox / Ustox
NITOSSOLO VERMELHO,85,Rhodic Paleudult
PLANOSSOLO HAPLICO,474,Endoaqualf
PLINTOSSOLO,6,Udox / Ustox
PLINTOSSOLO HAPLICO,2,
VERTISSOLO EBANICO,2,
VERTISSOLO HAPLICO,5,